,bird_id,bird,trait_id,trait
76,2,American Goldfinch,20,Back pattern solid.
77,2,American Goldfinch,21,Tail pattern multi-colored.
78,2,American Goldfinch,22,Wing pattern multi-colored.
79,2,American Goldfinch,23,Head pattern capped.
80,2,American Goldfinch,24,Tail shape notched tail.
81,2,American Goldfinch,25,Leg color orange.
82,2,American Goldfinch,26,Upper tail color black.
83,2,American Goldfinch,27,Wing shape rounded-wings.
84,3,American Pipit,0,Eye color black.
85,3,American Pipit,1,Bill shape all-purpose.
86,3,American Pipit,2,Bill length shorter than head.
87,3,American Pipit,3,Underparts color buff.
88,3,American Pipit,4,Upperparts color buff.
89,3,American Pipit,5,Wing color buff.
90,3,American Pipit,6,Breast color buff.
91,3,American Pipit,7,Primary color buff.
92,3,American Pipit,8,Back color buff.
93,3,American Pipit,9,Belly color buff.
94,3,American Pipit,10,Shape perching-like.
95,3,American Pipit,11,Throat color buff.
96,3,American Pipit,12,Nape color buff.
97,3,American Pipit,13,Size small (5 - 9 in).
98,3,American Pipit,14,Forehead color buff.
99,3,American Pipit,15,Crown color buff.
100,3,American Pipit,16,Back pattern striped.
101,3,American Pipit,17,Under tail color brown.
102,3,American Pipit,18,Breast pattern striped.
103,3,American Pipit,19,Wing pattern striped.
104,3,American Pipit,20,Leg color brown.
105,3,American Pipit,21,Tail shape pointed tail.
106,3,American Pipit,22,Bill color buff.
107,3,American Pipit,23,Upper tail color brown.
108,3,American Pipit,24,Belly pattern striped.
109,3,American Pipit,25,Tail pattern multi-colored.
110,3,American Pipit,26,Head pattern eyebrow.
111,3,American Pipit,27,Wing shape rounded-wings.
112,4,American Redstart,0,Eye color black.
113,4,American Redstart,1,Crown color black.
114,4,American Redstart,2,Throat color black.
115,4,American Redstart,3,Forehead color black.
116,4,American Redstart,4,Primary color black.
117,4,American Redstart,5,Nape color black.
118,4,American Redstart,6,Bill length shorter than head.
119,4,American Redstart,7,Bill color black.
120,4,American Redstart,8,Shape perching-like.
121,4,American Redstart,9,Wing color black.
122,4,American Redstart,10,Size small (5 - 9 in).
123,4,American Redstart,11,Wing pattern multi-colored.
124,4,American Redstart,12,Upperparts color black.
125,4,American Redstart,13,Breast color black.
126,4,American Redstart,14,Head pattern plain.
127,4,American Redstart,15,Bill shape all-purpose.
128,4,American Redstart,16,Back color black.
129,4,American Redstart,17,Belly pattern multi-colored.
130,4,American Redstart,18,Leg color black.
131,4,American Redstart,19,Tail pattern multi-colored.
132,4,American Redstart,20,Underparts color white.
133,4,American Redstart,21,Under tail color black.
134,4,American Redstart,22,Belly color white.
135,4,American Redstart,23,Breast pattern multi-colored.
136,4,American Redstart,24,Upper tail color black.
137,4,American Redstart,25,Tail shape notched tail.
138,4,American Redstart,26,Back pattern solid.
139,4,American Redstart,27,Wing shape rounded-wings.
140,5,American Three-toed Woodpecker,0,Primary color black.
141,5,American Three-toed Woodpecker,1,Wing color black.
142,5,American Three-toed Woodpecker,2,Upperparts color black.
143,5,American Three-toed Woodpecker,3,Eye color black.
144,5,American Three-toed Woodpecker,4,Throat color white.
145,5,American Three-toed Woodpecker,5,Nape color black.
146,5,American Three-toed Woodpecker,6,Back color black.
147,5,American Three-toed Woodpecker,7,Forehead color black.
148,5,American Three-toed Woodpecker,8,Shape tree-clinging-like.
149,5,American Three-toed Woodpecker,9,Bill color black.
150,5,American Three-toed Woodpecker,10,Crown color black.
151,5,American Three-toed Woodpecker,11,Breast color white.
152,5,American Three-toed Woodpecker,12,Under tail color black.
153,5,American Three-toed Woodpecker,13,Underparts color white.
154,5,American Three-toed Woodpecker,14,Bill shape dagger.
155,5,American Three-toed Woodpecker,15,Upper tail color black.
156,5,American Three-toed Woodpecker,16,Size small (5 - 9 in).
157,5,American Three-toed Woodpecker,17,Bill length about the same as head.
158,5,American Three-toed Woodpecker,18,Belly color white.
159,5,American Three-toed Woodpecker,19,Back pattern striped.
160,5,American Three-toed Woodpecker,20,Belly pattern striped.
161,5,American Three-toed Woodpecker,21,Wing pattern spotted.
162,5,American Three-toed Woodpecker,22,Tail pattern solid.
163,5,American Three-toed Woodpecker,23,Leg color grey.
164,5,American Three-toed Woodpecker,24,Breast pattern solid.
165,5,American Three-toed Woodpecker,25,Head pattern malar.
166,5,American Three-toed Woodpecker,26,Tail shape pointed tail.
167,5,American Three-toed Woodpecker,27,Wing shape rounded-wings.
168,6,American White Pelican,0,Primary color white.
169,6,American White Pelican,1,Bill length longer than head.
170,6,American White Pelican,2,Crown color white.
171,6,American White Pelican,3,Forehead color white.
172,6,American White Pelican,4,Breast pattern solid.
173,6,American White Pelican,5,Wing color white.
174,6,American White Pelican,6,Breast color white.
175,6,American White Pelican,7,Throat color white.
176,6,American White Pelican,8,Nape color white.
177,6,American White Pelican,9,Back pattern solid.
178,6,American White Pelican,10,Upperparts color white.
179,6,American White Pelican,11,Back color white.
180,6,American White Pelican,12,Underparts color white.
181,6,American White Pelican,13,Belly pattern solid.
182,6,American White Pelican,14,Belly color white.
183,6,American White Pelican,15,Upper tail color white.
184,6,American White Pelican,16,Size very large (32 - 72 in).
185,6,American White Pelican,17,Under tail color white.
186,6,American White Pelican,18,Tail pattern solid.
187,6,American White Pelican,19,Eye color black.
188,6,American White Pelican,20,Wing pattern solid.
189,6,American White Pelican,21,Shape long-legged-like.
190,6,American White Pelican,22,Head pattern plain.
191,6,American White Pelican,23,Bill color orange.
192,6,American White Pelican,24,Bill shape specialized.
193,6,American White Pelican,25,Leg color orange.
194,6,American White Pelican,26,Wing shape long-wings.
195,6,American White Pelican,27,Tail shape fan-shaped tail.
196,7,Anna's Hummingbird,0,Eye color black.
197,7,Anna's Hummingbird,1,Bill shape needle.
198,7,Anna's Hummingbird,2,Bill length longer than head.
199,7,Anna's Hummingbird,3,Shape hummingbird-like.
200,7,Anna's Hummingbird,4,Bill color black.
201,7,Anna's Hummingbird,5,Size very small (3 - 5 in).
202,7,Anna's Hummingbird,6,Underparts color grey.
203,7,Anna's Hummingbird,7,Breast color grey.
204,7,Anna's Hummingbird,8,Leg color black.
205,7,Anna's Hummingbird,9,Belly color grey.
206,7,Anna's Hummingbird,10,Forehead color brown.
207,7,Anna's Hummingbird,11,Wing color brown.
208,7,Anna's Hummingbird,12,Crown color brown.
209,7,Anna's Hummingbird,13,Primary color olive.
210,7,Anna's Hummingbird,14,Belly pattern striped.
211,7,Anna's Hummingbird,15,Nape color brown.
212,7,Anna's Hummingbird,16,Throat color brown.
213,7,Anna's Hummingbird,17,Breast pattern striped.
214,7,Anna's Hummingbird,18,Upperparts color grey.
215,7,Anna's Hummingbird,19,Wing shape rounded-wings.
216,7,Anna's Hummingbird,20,Back pattern striped.
217,7,Anna's Hummingbird,21,Head pattern eyering.
218,7,Anna's Hummingbird,22,Wing pattern solid.
219,7,Anna's Hummingbird,23,Tail shape pointed tail.
220,7,Anna's Hummingbird,24,Back color brown.
221,7,Anna's Hummingbird,25,Tail pattern multi-colored.
222,7,Anna's Hummingbird,26,Under tail color brown.
223,7,Anna's Hummingbird,27,Upper tail color brown.
224,8,Arctic Tern,0,Crown color black.
225,8,Arctic Tern,1,Forehead color black.
226,8,Arctic Tern,2,Breast pattern solid.
227,8,Arctic Tern,3,Belly pattern solid.
228,8,Arctic Tern,4,Throat color white.
229,8,Arctic Tern,5,Underparts color white.
230,8,Arctic Tern,6,Breast color white.
231,8,Arctic Tern,7,Belly color white.
232,8,Arctic Tern,8,Eye color black.
233,8,Arctic Tern,9,Primary color white.
234,8,Arctic Tern,10,Wing color white.
235,8,Arctic Tern,11,Wing pattern solid.
236,8,Arctic Tern,12,Nape color white.
237,8,Arctic Tern,13,Back pattern solid.
238,8,Arctic Tern,14,Tail pattern solid.
239,8,Arctic Tern,15,Bill color red.
240,8,Arctic Tern,16,Upperparts color white.
241,8,Arctic Tern,17,Under tail color white.
242,8,Arctic Tern,18,Bill length about the same as head.
243,8,Arctic Tern,19,Leg color red.
244,8,Arctic Tern,20,Back color white.
245,8,Arctic Tern,21,Head pattern capped.
246,8,Arctic Tern,22,Bill shape dagger.
247,8,Arctic Tern,23,Upper tail color white.
248,8,Arctic Tern,24,Size medium (9 - 16 in).
249,8,Arctic Tern,25,Tail shape forked tail.
250,8,Arctic Tern,26,Wing shape long-wings.
251,8,Arctic Tern,27,Shape gull-like.
252,9,Baird's Sparrow,0,Eye color black.
253,9,Baird's Sparrow,1,Bill length shorter than head.
254,9,Baird's Sparrow,2,Bill shape cone.
255,9,Baird's Sparrow,3,Shape perching-like.
256,9,Baird's Sparrow,4,Belly pattern solid.
257,9,Baird's Sparrow,5,Underparts color white.
258,9,Baird's Sparrow,6,Bill color buff.
259,9,Baird's Sparrow,7,Crown color brown.
260,9,Baird's Sparrow,8,Primary color buff.
261,9,Baird's Sparrow,9,Belly color white.
262,9,Baird's Sparrow,10,Size small (5 - 9 in).
263,9,Baird's Sparrow,11,Throat color white.
264,9,Baird's Sparrow,12,Breast pattern striped.
265,9,Baird's Sparrow,13,Forehead color brown.
266,9,Baird's Sparrow,14,Upperparts color brown.
267,9,Baird's Sparrow,15,Nape color buff.
268,9,Baird's Sparrow,16,Wing color brown.
269,9,Baird's Sparrow,17,Back pattern striped.
270,9,Baird's Sparrow,18,Wing pattern striped.
271,9,Baird's Sparrow,19,Back color buff.
272,9,Baird's Sparrow,20,Breast color buff.
273,9,Baird's Sparrow,21,Leg color buff.
274,9,Baird's Sparrow,22,Tail shape notched tail.
275,9,Baird's Sparrow,23,Upper tail color brown.
276,9,Baird's Sparrow,24,Head pattern striped.
277,9,Baird's Sparrow,25,Under tail color buff.
278,9,Baird's Sparrow,26,Tail pattern solid.
279,9,Baird's Sparrow,27,Wing shape pointed-wings.
280,10,Baltimore Oriole,0,Belly pattern solid.
281,10,Baltimore Oriole,1,Eye color black.
282,10,Baltimore Oriole,2,Breast pattern solid.
283,10,Baltimore Oriole,3,Forehead color black.
284,10,Baltimore Oriole,4,Throat color black.
285,10,Baltimore Oriole,5,Crown color black.
286,10,Baltimore Oriole,6,Wing color black.
287,10,Baltimore Oriole,7,Nape color black.
288,10,Baltimore Oriole,8,Head pattern plain.
289,10,Baltimore Oriole,9,Underparts color yellow.
290,10,Baltimore Oriole,10,Belly color yellow.
291,10,Baltimore Oriole,11,Bill length shorter than head.
292,10,Baltimore Oriole,12,Size small (5 - 9 in).
293,10,Baltimore Oriole,13,Shape perching-like.
294,10,Baltimore Oriole,14,Breast color yellow.
295,10,Baltimore Oriole,15,Upperparts color black.
296,10,Baltimore Oriole,16,Primary color black.
297,10,Baltimore Oriole,17,Leg color grey.
298,10,Baltimore Oriole,18,Bill color grey.
299,10,Baltimore Oriole,19,Back color black.
300,10,Baltimore Oriole,20,Wing pattern multi-colored.
301,10,Baltimore Oriole,21,Under tail color yellow.
302,10,Baltimore Oriole,22,Tail pattern multi-colored.
303,10,Baltimore Oriole,23,Bill shape all-purpose.
304,10,Baltimore Oriole,24,Back pattern multi-colored.
305,10,Baltimore Oriole,25,Tail shape notched tail.
306,10,Baltimore Oriole,26,Upper tail color yellow.
307,10,Baltimore Oriole,27,Wing shape rounded-wings.
308,11,Bank Swallow,0,Eye color black.
309,11,Bank Swallow,1,Bill length shorter than head.
310,11,Bank Swallow,2,Belly pattern solid.
311,11,Bank Swallow,3,Underparts color white.
312,11,Bank Swallow,4,Bill color black.
313,11,Bank Swallow,5,Primary color brown.
314,11,Bank Swallow,6,Crown color brown.
315,11,Bank Swallow,7,Belly color white.
316,11,Bank Swallow,8,Wing color brown.
317,11,Bank Swallow,9,Upperparts color brown.
318,11,Bank Swallow,10,Breast pattern solid.
319,11,Bank Swallow,11,Forehead color brown.
320,11,Bank Swallow,12,Bill shape cone.
321,11,Bank Swallow,13,Throat color white.
322,11,Bank Swallow,14,Back pattern solid.
323,11,Bank Swallow,15,Nape color brown.
324,11,Bank Swallow,16,Back color brown.
325,11,Bank Swallow,17,Breast color white.
326,11,Bank Swallow,18,Upper tail color brown.
327,11,Bank Swallow,19,Size small (5 - 9 in).
328,11,Bank Swallow,20,Under tail color brown.
329,11,Bank Swallow,21,Tail pattern solid.
330,11,Bank Swallow,22,Tail shape notched tail.
331,11,Bank Swallow,23,Wing pattern solid.
332,11,Bank Swallow,24,Head pattern plain.
333,11,Bank Swallow,25,Leg color grey.
334,11,Bank Swallow,26,Shape pigeon-like.
335,11,Bank Swallow,27,Wing shape pointed-wings.
336,12,Barn Swallow,0,Eye color black.
337,12,Barn Swallow,1,Bill length shorter than head.
338,12,Barn Swallow,2,Belly pattern solid.
339,12,Barn Swallow,3,Tail pattern solid.
340,12,Barn Swallow,4,Back pattern solid.
341,12,Barn Swallow,5,Primary color black.
342,12,Barn Swallow,6,Bill color black.
343,12,Barn Swallow,7,Breast pattern solid.
344,12,Barn Swallow,8,Underparts color buff.
345,12,Barn Swallow,9,Wing color black.
346,12,Barn Swallow,10,Belly color buff.
347,12,Barn Swallow,11,Size small (5 - 9 in).
348,12,Barn Swallow,12,Crown color black.
349,12,Barn Swallow,13,Wing pattern solid.
350,12,Barn Swallow,14,Back color black.
351,12,Barn Swallow,15,Nape color black.
352,12,Barn Swallow,16,Bill shape all-purpose.
353,12,Barn Swallow,17,Breast color buff.
354,12,Barn Swallow,18,Upperparts color black.
355,12,Barn Swallow,19,Throat color orange.
356,12,Barn Swallow,20,Forehead color orange.
357,12,Barn Swallow,21,Under tail color black.
358,12,Barn Swallow,22,Shape perching-like.
359,12,Barn Swallow,23,Upper tail color black.
360,12,Barn Swallow,24,Head pattern eyering.
361,12,Barn Swallow,25,Tail shape forked tail.
362,12,Barn Swallow,26,Leg color black.
363,12,Barn Swallow,27,Wing shape rounded-wings.
364,13,Bay-breasted Warbler,0,Eye color black.
365,13,Bay-breasted Warbler,1,Bill length shorter than head.
366,13,Bay-breasted Warbler,2,Wing color white.
367,13,Bay-breasted Warbler,3,Forehead color black.
368,13,Bay-breasted Warbler,4,Bill shape all-purpose.
369,13,Bay-breasted Warbler,5,Shape perching-like.
370,13,Bay-breasted Warbler,6,Underparts color white.
371,13,Bay-breasted Warbler,7,Bill color black.
372,13,Bay-breasted Warbler,8,Primary color grey.
373,13,Bay-breasted Warbler,9,Belly color white.
374,13,Bay-breasted Warbler,10,Leg color grey.
375,13,Bay-breasted Warbler,11,Upperparts color grey.
376,13,Bay-breasted Warbler,12,Breast pattern multi-colored.
377,13,Bay-breasted Warbler,13,Belly pattern solid.
378,13,Bay-breasted Warbler,14,Breast color white.
379,13,Bay-breasted Warbler,15,Nape color buff.
380,13,Bay-breasted Warbler,16,Back color grey.
381,13,Bay-breasted Warbler,17,Under tail color grey.
382,13,Bay-breasted Warbler,18,Size small (5 - 9 in).
383,13,Bay-breasted Warbler,19,Back pattern striped.
384,13,Bay-breasted Warbler,20,Throat color brown.
385,13,Bay-breasted Warbler,21,Wing pattern multi-colored.
386,13,Bay-breasted Warbler,22,Crown color black.
387,13,Bay-breasted Warbler,23,Upper tail color grey.
388,13,Bay-breasted Warbler,24,Tail shape notched tail.
389,13,Bay-breasted Warbler,25,Wing shape rounded-wings.
390,13,Bay-breasted Warbler,26,Tail pattern solid.
391,13,Bay-breasted Warbler,27,Head pattern capped.
392,14,Belted Kingfisher,0,Throat color white.
393,14,Belted Kingfisher,1,Eye color black.
394,14,Belted Kingfisher,2,Belly color white.
395,14,Belted Kingfisher,3,Underparts color white.
396,14,Belted Kingfisher,4,Bill shape dagger.
397,14,Belted Kingfisher,5,Nape color white.
398,14,Belted Kingfisher,6,Breast pattern multi-colored.
399,14,Belted Kingfisher,7,Breast color white.
400,14,Belted Kingfisher,8,Bill length about the same as head.
401,14,Belted Kingfisher,9,Belly pattern multi-colored.
402,14,Belted Kingfisher,10,Primary color grey.
403,14,Belted Kingfisher,11,Bill color black.
404,14,Belted Kingfisher,12,Back pattern solid.
405,14,Belted Kingfisher,13,Wing pattern solid.
406,14,Belted Kingfisher,14,Upperparts color grey.
407,14,Belted Kingfisher,15,Crown color black.
408,14,Belted Kingfisher,16,Wing color grey.
409,14,Belted Kingfisher,17,Forehead color grey.
410,14,Belted Kingfisher,18,Head pattern crested.
411,14,Belted Kingfisher,19,Size small (5 - 9 in).
412,14,Belted Kingfisher,20,Back color grey.
413,14,Belted Kingfisher,21,Tail pattern solid.
414,14,Belted Kingfisher,22,Shape hummingbird-like.
415,14,Belted Kingfisher,23,Under tail color black.
416,14,Belted Kingfisher,24,Upper tail color grey.
417,14,Belted Kingfisher,25,Leg color black.
418,14,Belted Kingfisher,26,Tail shape notched tail.
419,14,Belted Kingfisher,27,Wing shape rounded-wings.
420,15,Bewick's Wren,0,Crown color brown.
421,15,Bewick's Wren,1,Eye color black.
422,15,Bewick's Wren,2,Forehead color brown.
423,15,Bewick's Wren,3,Shape perching-like.
424,15,Bewick's Wren,4,Breast pattern solid.
425,15,Bewick's Wren,5,Head pattern eyebrow.
426,15,Bewick's Wren,6,Primary color brown.
427,15,Bewick's Wren,7,Upperparts color brown.
428,15,Bewick's Wren,8,Nape color brown.
429,15,Bewick's Wren,9,Wing color brown.
430,15,Bewick's Wren,10,Belly pattern solid.
431,15,Bewick's Wren,11,Back color brown.
432,15,Bewick's Wren,12,Back pattern solid.
433,15,Bewick's Wren,13,Under tail color brown.
434,15,Bewick's Wren,14,Throat color white.
435,15,Bewick's Wren,15,Tail pattern striped.
436,15,Bewick's Wren,16,Breast color white.
437,15,Bewick's Wren,17,Bill shape all-purpose.
438,15,Bewick's Wren,18,Wing pattern solid.
439,15,Bewick's Wren,19,Belly color grey.
440,15,Bewick's Wren,20,Bill length shorter than head.
441,15,Bewick's Wren,21,Underparts color grey.
442,15,Bewick's Wren,22,Bill color grey.
443,15,Bewick's Wren,23,Upper tail color brown.
444,15,Bewick's Wren,24,Size small (5 - 9 in).
445,15,Bewick's Wren,25,Leg color grey.
446,15,Bewick's Wren,26,Tail shape rounded tail.
447,15,Bewick's Wren,27,Wing shape rounded-wings.
448,16,Black Tern,0,Eye color black.
449,16,Black Tern,1,Bill color black.
450,16,Black Tern,2,Breast pattern solid.
451,16,Black Tern,3,Bill length about the same as head.
452,16,Black Tern,4,Crown color black.
453,16,Black Tern,5,Belly pattern solid.
454,16,Black Tern,6,Underparts color black.
455,16,Black Tern,7,Throat color black.
456,16,Black Tern,8,Forehead color black.
457,16,Black Tern,9,Nape color black.
458,16,Black Tern,10,Breast color black.
459,16,Black Tern,11,Bill shape all-purpose.
460,16,Black Tern,12,Wing color grey.
461,16,Black Tern,13,Belly color black.
462,16,Black Tern,14,Upperparts color grey.
463,16,Black Tern,15,Primary color black.
464,16,Black Tern,16,Back color grey.
465,16,Black Tern,17,Under tail color grey.
466,16,Black Tern,18,Leg color black.
467,16,Black Tern,19,Size medium (9 - 16 in).
468,16,Black Tern,20,Head pattern plain.
469,16,Black Tern,21,Wing pattern solid.
470,16,Black Tern,22,Back pattern solid.
471,16,Black Tern,23,Tail pattern solid.
472,16,Black Tern,24,Upper tail color grey.
473,16,Black Tern,25,Wing shape tapered-wings.
474,16,Black Tern,26,Tail shape pointed tail.
475,16,Black Tern,27,Shape gull-like.
476,17,Black-and-white Warbler,0,Eye color black.
477,17,Black-and-white Warbler,1,Wing color black.
478,17,Black-and-white Warbler,2,Primary color black.
479,17,Black-and-white Warbler,3,Upperparts color black.
480,17,Black-and-white Warbler,4,Crown color black.
481,17,Black-and-white Warbler,5,Underparts color white.
482,17,Black-and-white Warbler,6,Forehead color black.
483,17,Black-and-white Warbler,7,Belly color white.
484,17,Black-and-white Warbler,8,Back color black.
485,17,Black-and-white Warbler,9,Breast color white.
486,17,Black-and-white Warbler,10,Bill shape all-purpose.
487,17,Black-and-white Warbler,11,Nape color black.
488,17,Black-and-white Warbler,12,Wing pattern striped.
489,17,Black-and-white Warbler,13,Throat color white.
490,17,Black-and-white Warbler,14,Back pattern striped.
491,17,Black-and-white Warbler,15,Bill length shorter than head.
492,17,Black-and-white Warbler,16,Bill color black.
493,17,Black-and-white Warbler,17,Shape perching-like.
494,17,Black-and-white Warbler,18,Under tail color white.
495,17,Black-and-white Warbler,19,Breast pattern striped.
496,17,Black-and-white Warbler,20,Upper tail color black.
497,17,Black-and-white Warbler,21,Belly pattern striped.
498,17,Black-and-white Warbler,22,Tail pattern striped.
499,17,Black-and-white Warbler,23,Leg color black.
500,17,Black-and-white Warbler,24,Head pattern striped.
501,17,Black-and-white Warbler,25,Size very small (3 - 5 in).
502,17,Black-and-white Warbler,26,Tail shape pointed tail.
503,17,Black-and-white Warbler,27,Wing shape rounded-wings.
504,18,Black-billed Cuckoo,0,Eye color black.
505,18,Black-billed Cuckoo,1,Breast color white.
506,18,Black-billed Cuckoo,2,Belly color white.
507,18,Black-billed Cuckoo,3,Underparts color white.
508,18,Black-billed Cuckoo,4,Breast pattern solid.
509,18,Black-billed Cuckoo,5,Belly pattern solid.
510,18,Black-billed Cuckoo,6,Throat color white.
511,18,Black-billed Cuckoo,7,Wing pattern solid.
512,18,Black-billed Cuckoo,8,Wing color brown.
513,18,Black-billed Cuckoo,9,Bill shape all-purpose.
514,18,Black-billed Cuckoo,10,Primary color brown.
515,18,Black-billed Cuckoo,11,Size small (5 - 9 in).
516,18,Black-billed Cuckoo,12,Bill color black.
517,18,Black-billed Cuckoo,13,Bill length about the same as head.
518,18,Black-billed Cuckoo,14,Nape color brown.
519,18,Black-billed Cuckoo,15,Shape perching-like.
520,18,Black-billed Cuckoo,16,Crown color brown.
521,18,Black-billed Cuckoo,17,Upperparts color brown.
522,18,Black-billed Cuckoo,18,Leg color grey.
523,18,Black-billed Cuckoo,19,Back color brown.
524,18,Black-billed Cuckoo,20,Back pattern solid.
525,18,Black-billed Cuckoo,21,Forehead color brown.
526,18,Black-billed Cuckoo,22,Head pattern eyering.
527,18,Black-billed Cuckoo,23,Tail pattern solid.
528,18,Black-billed Cuckoo,24,Under tail color grey.
529,18,Black-billed Cuckoo,25,Tail shape pointed tail.
530,18,Black-billed Cuckoo,26,Wing shape rounded-wings.
531,18,Black-billed Cuckoo,27,Upper tail color brown.
532,19,Black-capped Vireo,0,Throat color white.
533,19,Black-capped Vireo,1,Breast color white.
534,19,Black-capped Vireo,2,Bill length shorter than head.
535,19,Black-capped Vireo,3,Underparts color white.
536,19,Black-capped Vireo,4,Crown color black.
537,19,Black-capped Vireo,5,Forehead color black.
538,19,Black-capped Vireo,6,Belly color white.
539,19,Black-capped Vireo,7,Breast pattern solid.
540,19,Black-capped Vireo,8,Belly pattern solid.
541,19,Black-capped Vireo,9,Bill color black.
542,19,Black-capped Vireo,10,Eye color black.
543,19,Black-capped Vireo,11,Bill shape all-purpose.
544,19,Black-capped Vireo,12,Shape perching-like.
545,19,Black-capped Vireo,13,Primary color white.
546,19,Black-capped Vireo,14,Nape color black.
547,19,Black-capped Vireo,15,Leg color grey.
548,19,Black-capped Vireo,16,Wing color black.
549,19,Black-capped Vireo,17,Size very small (3 - 5 in).
550,19,Black-capped Vireo,18,Back pattern multi-colored.
551,19,Black-capped Vireo,19,Upperparts color black.
552,19,Black-capped Vireo,20,Wing pattern striped.
553,19,Black-capped Vireo,21,Back color grey.
554,19,Black-capped Vireo,22,Tail pattern multi-colored.
555,19,Black-capped Vireo,23,Head pattern eyering.
556,19,Black-capped Vireo,24,Tail shape notched tail.
557,19,Black-capped Vireo,25,Under tail color grey.
558,19,Black-capped Vireo,26,Wing shape rounded-wings.
559,19,Black-capped Vireo,27,Upper tail color grey.
560,20,Black-footed Albatross,0,Bill length about the same as head.
561,20,Black-footed Albatross,1,Eye color black.
562,20,Black-footed Albatross,2,Breast pattern solid.
563,20,Black-footed Albatross,3,Bill shape hooked seabird.
564,20,Black-footed Albatross,4,Primary color brown.
565,20,Black-footed Albatross,5,Wing shape long-wings.
566,20,Black-footed Albatross,6,Wing pattern solid.
567,20,Black-footed Albatross,7,Size medium (9 - 16 in).
568,20,Black-footed Albatross,8,Back pattern solid.
569,20,Black-footed Albatross,9,Crown color grey.
570,20,Black-footed Albatross,10,Belly pattern solid.
571,20,Black-footed Albatross,11,Nape color brown.
572,20,Black-footed Albatross,12,Wing color brown.
573,20,Black-footed Albatross,13,Throat color buff.
574,20,Black-footed Albatross,14,Forehead color grey.
575,20,Black-footed Albatross,15,Shape gull-like.
